Record Number;Title;Priority Country Code;Current Assignee;Assignee;Assignee Original;Current Owner;Publication/Issue Date;Filing/Application Date;CPC;IPC All Versions (IC);Simple Family Members;SFAM All countries;Publication Country;360° Quality;Priority Date;Priority Year;Attorney;Attorney Address;Assignee Country;Inventor Country;No. of Assignees;No. of Inventors;Legal Status (Dead/Alive);Legal Quality;Is Litigated;Is Opposed;Litigation Details;Citation Quality;Intrensic Quality;Market Quality;Record Type;Simple Family ID
WO2005100732A1;A TELESCOPIC CONDUCTOR CASING FOR A WELL INSTALLATION AND A METHOD OF DRIVING SAME INTO THE UNDERGROUND;NO;STRAND HARALD  ( NO );STRAND HARALD (NO);STRAND HARALD (NO);STRAND HARALD;27-Oct-2005;13.apr.05;"E21B7/20; E21B17/07";"E21B4/06; E21B7/20; E21B17/07; E21B17/08";"US2008257603A1
 EP1740793A1 / EP1740793B1
 WO2005100732A1
 DE602005003118D1
 CA2562891A1
 ATE377129T1
 BRPI0509802A / BRPI0509802B1
 NO320467B1 / NO20041495D0 / NO20041495L";NO, WO, AT, BR, US, EP, DE, CA;WO;52.96;13.apr.04;2004;"H&ARING MS&OSLASH PATENTBYR&ARING ANS PO BOX 171 N 4302 SANDNES NO; HAMS PATENTBYRA ANS (NO)";PO BOX 171 N 4302 SANDNES;NO;NO-1;1;1;DEAD;75;No;No;None;30.17;41.99;72.31;Application;34859256
WO2005072074A3;WORKING MACHINE WITH AN ELECTROMECHANICAL CONVERTER;NO;LEIV EIRIKSSON NYSKAPING AS  ( NO );LEIV EIRIKSSON NYSKAPING AS (NO);"BRENNVALL JON EIRIK (NO); LEIV EIRIKSSON NYSKAPING AS (NO); NILSSEN ROBERT (NO)";LEIV EIRIKSSON NYSKAPING AS;29.sep.05;28.jan.05;"F04B35/045; H02K35/02; H02K33/16";"F04B35/04; H02K33/00; H02K33/16; H02K35/02";"US7679227B2 / US2007024126A1
 EP1719239A2
 WO2005072074A2 / WO2005072074A3
 RU2382477C2 / RU2006129868A";US, WO, EP, RU;WO;55.88;28.jan.04;2004;CURO AS BOX 38 N 7231 LUNDAMO NO;None;NO;NO-2;1;2;DEAD;50;No;No;None;62.29;41.77;55.97;Application;34825257
WO2006092616A3;METHOD OF AND APPARATUS FOR ENCODING DATA;GB;FALANX MICROSYSTEMS AS  ( NO ),TOTHILL JOHN PAUL  ( GB );"FALANX MICROSYSTEMS AS (NO); TOTHILL JOHN PAUL (GB)";"BLAZEVIC MARIO (NO); FALANX MICROSYSTEMS AS (NO); HEGGELUND FRODE (NO); LJOSLAND BORGAN (NO); NYSTAD JOERN (NO); SOERGARD EDWARD (NO); TOTHILL JOHN PAUL (GB)";SOFTBANK GROUP, TOTHILL JOHN PAUL;16.nov.06;03.mar.06;G06T9/00;"G06T9/00; G06T15/04";"US8102402B2 / US2009021521A1
 US8289343B2 / US2012081384A1
 WO2006092616A2 / WO2006092616A3
 JP4897709B2 / JP2008532165A
 JP5341968B2 / JP2012048734A
 JP5419947B2 / JP2012022718A
 CN101203886A / CN101203886B
 CN102521848A / CN102521848B
 CN102542579A / CN102542579B
 GB0504570D0
 GB0604343D0 / GB2423906A / GB2423906B";CN, GB, WO, US, JP;WO;38.53;04.mar.05;2005;FRANK B DEHN & CO ST BRIDE HOUSE 10 SALISBURY SQUARE STREET LONDON EC4Y 8JD GB;None;NO, GB;NO-5;2;5;DEAD;44;No;No;None;30.72;49.02;41.8;Application;34451857
WO2005000441A9;CONJUGATES OF MAGNETIC POLYMER PARTICLES AND CARBOXYMETHYLATED ASPARTIC ACID;GB;CAMPBELL NEIL  ( GB ),DYNAL BIOTECH AS  ( NO );"CAMPBELL NEIL (GB); DYNAL BIOTECH AS (NO)";"AUKRUST INGER REIDUN (NO); CAMPBELL NEIL (GB); DYNAL BIOTECH ASA (NO); FONNUM GEIR (NO); KJUS NINI HOFSLOKKEN (NO); NORDSTRAND SOLVEIG (NO); SANDBERG MARCEL (NO); SONGE PAL (NO)";CAMPBELL NEIL, DYNAL BIOTECH AS;07.jul.05;28.jun.04;"C07K1/22; B01D15/3828; B01J20/28009; B01J20/3242; B01J45/00; C08F8/00; C08F8/42; H01F1/42; B01J20/3251; B01J20/3265";"B01D15/08; B01D15/38; B01J20/32; B01J45/00; C07K1/22; C08F8/00; C08F8/32; C08F8/42; G01N30/02; H01F1/42";"US2006189797A1
 US2010222508A1
 EP1638662A2
 EP2216083A2 / EP2216083A3
 WO2005000441A2 / WO2005000441A3 / WO2005000441A9
 JP2007519765A
 AU2004251492A1 / AU2004251492B2
 IN242353A1
 CA2530331A1
 CN101717344A";CA, AU, IN, WO, US, EP, CN, JP;WO;71.55;"27-Jun-2003
08-Dec-2003
15-Apr-2004";2003;FRANK B DEHN & CO 179 QUEEN VICTORIA STREET LONDON EC4V 4EL GB;None;NO, GB;NO-6;2;6;DEAD;50;No;No;None;84.56;97.05;60.06;Application;33556050
WO2006052142A1;ELECTRICITY AND HEAT CONDUCTIVE COMPOSITE;GB;CARBON CONES AS  ( NO );CARBON CONES AS (NO);"ASDAL BENT (NO); CARBON CONES AS (NO); CECCAROLI BRUNO (NO); PINHEIRO JEAN PATRIC (NO)";CARBON CONES AS;18-May-2006;01.nov.05;"H01B1/24; B82Y30/00; C08K3/04";"H01B1/24; C08K3/00; C08K3/04; C08L67/00";"US2008039569A1
 EP1812936A1
 MX2007005345A
 WO2006052142A1
 JP2008519091A
 AU2005302858A1
 CA2584848A1
 CN101061554A
 GB0424368D0 / GB2419883A";JP, GB, WO, CA, AU, MX, US, EP, CN;WO;27.41;03.nov.04;2004;"ONSAGERS AS (NO); ONSAGERS AS ET AL PO BOX 6963 ST OLAVS PLASS N 0130 OSLO NO";PO BOX 6963 ST OLAVS PLASS N 0130 OSLO;NO;NO-3;1;3;DEAD;27.75;No;No;None;28.92;28.jul;24.95;Application;33523156
WO2006032923A3;INHIBITORS OF PROTEIN KINASE A ANCHORING;GB;JONES ELIZABETH LOUISE  ( GB ),UNIV OSLO  ( NO );"JONES ELIZABETH LOUISE (GB); UNIV OSLO (NO)";"CARLSON CATHERINE REIN (NO); JONES ELIZABETH LOUISE (GB); SCOTT JOHN (US); TASKEN KJETIL (NO); UNIV OSLO (NO)";JONES ELIZABETH LOUISE, UNIV OSLO;08.jun.06;26.sep.05;"C07K14/4703; A61K38/00; A61P37/00";"C07K7/08; A61K38/00; A61K38/10; A61K38/17; C07K14/47";"US2008248008A1
 EP1799702A2
 WO2006032923A2 / WO2006032923A3
 GB0421355D0";GB, WO, US, EP;WO;21.18;24.sep.04;2004;FRANK B DEHN & CO ST BRIDE S HOUSE 10 SALISBURY SQUARE LONDON EC4Y 8JD GB;None;NO, GB, US;"NO-2; US-1";2;3;DEAD;25.des;No;No;None;23.apr;20.67;16.25;Application;33397257
WO2004097025A3;A METHOD OF TRANSDUCING NEURAL STEM CELLS BOUND TO A FIBRONECTIN FRAGMENT;GB;NORWEGIAN RADIUM HOSPITAL RES  ( NO );NORWEGIAN RADIUM HOSPITAL RES (NO);"FODSTAD OEYSTEIN (NO); KRAUSS STAFAN JOHANNES KARL (NO); LORICO AURELIO (NO); NORWEGIAN RADIUM HOSPITAL RES (NO); RAPPA GERMANA (NO)";NORWEGIAN RADIUM HOSPITAL RES;06.jan.05;30.apr.04;"C12N15/87; A61K48/00; C12N2799/027";"A61K48/00; C12N15/87; C12N5/00; C12N5/06; C12N15/86; C07K14/78";WO2004097025A2 / WO2004097025A3;WO;WO;des.98;02-May-2003;2003;ARENDS WILLIAM GERRIT LLOYD WISE COMMONWEALTH HOUSE 119 NEW OXFORD STREET LONDON WC1A 1LW GB;None;NO;NO-4;1;4;DEAD;0;No;No;None;des.79;42.61;12;Application;33397057
WO2006027609A8;METHOD OF INHIBITING HYDRATE FORMATION;GB;COCKBAIN JULIAN  ( GB ),STATOIL ASA  ( NO );"COCKBAIN JULIAN (GB); STATOIL ASA (NO)";"AABERGE LEIF (NO); COCKBAIN JULIAN (GB); KINNARI KEIJO J (NO); LABES CARRIER CATHERINE (NO); LUNDE KNUD (NO); STATOIL ASA (NO)";COCKBAIN JULIAN, EQUINOR ASA;21.jun.07;09.sep.05;"F17D1/082; F17D1/05; Y02E60/34";F17D1/05;"US8220552B2 / US2008053659A1
 MX2007002823A
 WO2006027609A1 / WO2006027609A8
 EA011377B1 / EA200700430A1 / EA200700430B1
 EA200802280A1
 GB0420061D0
 GB0705619D0 / GB2432165A / GB2432165B
 BRPI0515039A / BRPI0515039B1
 NO336090B1 / NO20071813L";GB, EA, WO, NO, MX, BR, US;WO;81.7;09.sep.04;2004;"COCKBAIN JULIAN (GB); COCKBAIN JULIAN ET AL FRANK B DEHN & CO ST BRIDE S HOUSE 10 SALISBURY SQUARE LONDON EC4Y 8JD GB";None;NO, GB;NO-4;2;4;DEAD;87;No;No;None;84.2;95.16;70.35;Application;33186757
WO2004018853A1;IMPROVEMENT IN A 4-STROKE INTERNAL COMBUSTION ENGINE;NO;AANMOEN RAGNAR  ( NO );AANMOEN RAGNAR (NO);AANMOEN RAGNAR (NO);AANMOEN RAGNAR;04.mar.04;23.aug.02;"F01L7/02; F02B25/02; F01L3/205; F02B2720/226; F02B2075/027";"F01L3/20; F01L7/02; F02B25/02; F02B75/02; F01L1/44";"WO2004018853A1
 NO20014040D0 / NO20014040L";WO, NO;WO;28.17;"20-Aug-2001
23-Aug-2002";2001;"LANGAN HANS (NO); LANGAN HANS BRYNS ZACCO AS PO BOX 765 SENTRUM N0106 OSLO NO";BRYNS ZACCO AS PO BOX 765 SENTRUM N0106 OSLO;NO;NO-1;1;1;DEAD;50;No;No;None;22.78;mai.44;28.38;Application;32684356
WO2005089891A1;PERSONAL PROTECTION DEVICE;GB;SPORTSPLINT DA  ( NO );SPORTSPLINT DA (NO);"HAGEN KAARE MARTIN (NO); JOHANNESSEN EGIL (NO); SPORTSPLINT DA (NO); WIIK TOR HENNING (NO)";SPORTSPLINT DA;29.sep.05;18.mar.05;"A63B2071/1266; A63B2071/1258; A63B2071/1241; A63B71/1225; A63B2209/02; A63B2209/10";"A43D1/02; A63B71/12";"US2008189822A1
 EP1740276A1
 WO2005089891A1
 JP2007529266A
 GB0406261D0 / GB2412056A";GB, WO, US, EP, JP;WO;68.45;19.mar.04;2004;"ONSAGERS AS (NO); ONSAGERS AS ET AL PO BOX 6963 ST OLAVS PLASS N 0130 OSLO NO";PO BOX 6963 ST OLAVS PLASS N 0130 OSLO;NO;NO-3;1;3;DEAD;49.75;No;No;None;70.13;81.77;74.25;Application;32118056
WO2005045316A3;PURIFICATION WORKS FOR THERMAL POWER PLANT;NO;SARGAS AS  ( NO );SARGAS AS (NO);"BOERSETH KNUT (NO); CHRISTENSEN TOR (NO); FLEISCHER HENRIK (NO); SARGAS AS (NO)";SARGAS AS;10.jan.08;05.nov.04;"F01K23/08; F23J2215/50; F23J15/006; F23J2219/40; B01D53/1475; F23J15/08; F23J15/04; B01D2257/504; B01D53/62; Y02E20/32; Y02C20/40; Y02A50/20";"F23J15/00; B01D53/14; B01D53/62; F01K23/08; F23J15/04; F23J15/08";"US7559977B2 / US2007006565A1
 EP1690040A2 / EP1690040B1
 WO2005045316A2 / WO2005045316A3
 CA2542610A1 / CA2542610C
 NO321817B1 / NO20034941D0 / NO20034941L
 PL1690040T3";US, NO, PL, WO, EP, CA;WO;76.73;06.nov.03;2003;PROTECTOR INTELLECTUAL PROPERTY CONSULTANTS AS N 0301 OSLO NO;None;NO;NO-3;1;3;DEAD;62;No;No;None;98.14;50.51;66.76;Application;29775157
WO2005032002A1;METHOD FOR REDUCING THE TIME DELAY IN A TELEPHONE SYSTEM;NO;MARITIME COMM PARTNER AS  ( NO );MARITIME COMM PARTNER AS (NO);"FJELLHEIM KNUT (NO); GUSTAVSEN TRYGVE STEN (NO); HAGLUND SVEIN (NO); HOEGSAAS TROND (NO); KJELLSTADLI KJETIL (NO); LIEN SJUR THOMAS (NO); MARITIME COMM PARTNER AS (NO); REFSTIE KNUT EINAR (NO)";MARITIME COMM PARTNER AS;07.apr.05;29.sep.04;"H04B7/18543; H04W76/12; H04W92/14";"H04B7/185; H04Q7/22; H04Q7/30";"EP1668795A1
 WO2005032002A1
 NO20034333D0 / NO20034333L";WO, EP, NO;WO;28.59;29.sep.03;2003;HAMS PATENTBYRA ANS (NO);PO BOX 171 N4302 SANDNES;NO;NO-7;1;7;DEAD;50;No;No;None;aug.16;53.78;33.15;Application;29417557
WO2003077766A1;MULTIPLE SCAN-PLANE ULTRASOUND IMAGING OF OBJECTS;US;ANGELSEN BJOERN AJ  ( NO ),JOHANSEN TONNI F  ( NO );"ANGELSEN BJOERN AJ (NO); JOHANSEN TONNI F (NO)";"ANGELSEN BJOERN A J (NO); JOHANSEN TONNI F (NO)";ANGELSEN BJOERN AJ, JOHANSEN TONNI F;25.sep.03;13.mar.03;"G01S7/52074; A61B8/145; G01S15/8925; G01S15/8927; A61B8/13; A61B8/06";"A61B8/08; A61B8/06; G01S7/52; G01S15/89; H04R17/00; H10N30/00; H10N30/20; A61B8/12; G01N29/00; G01S15/00";"US7758509B2 / US2003216646A1
 EP1489972A1 / EP1489972B1 / EP1489972B2
 WO03077766A1
 JP4584586B2 / JP2005520592A
 JP5192508B2 / JP2010179117A
 DE60329986D1
 AU2003212721A1
 IN259124A1 / IN-DELNP-2004-03050A
 CN1652723A / CN100569186C
 RU2004131526A
 ATE447889T1";AU, AT, WO, IN, RU, JP, EP, DE, CN, US;WO;61.67;15.mar.02;2002;"ABC PATENT SIVILING ROLF CHR B LARSEN AS (NO); ABC PATENT SIVILING ROLF CHR B LARSEN AS POSTBOKS 6150 ETTERSTAD N 0602 OSLO NO";POSTBOKS 6150 ETTERSTAD N 0602 OSLO;NO;NO-2;2;2;DEAD;0;No;No;None;89.5;76.07;60.86;Application;28041956
WO2005003512A8;SUBSEA COMPRESSOR MODULE AND A METHOD FOR CONTROLLING THE PRESSURE IN SUCH A SUBSEA COMPRESSOR MODULE;NO;KVAERNER OILFIELD PROD AS  ( NO );KVAERNER OILFIELD PROD AS (NO);"KVAERNER OILFIELD PROD AS (NO); SKOFTELAND HAKON (NO); STINESSEN KJELL OLAV (NO)";KVAERNER OILFIELD PROD AS;17.mar.05;01.jul.04;"F16C39/06; F04D29/104; F04D25/0606; F04B49/00; F04B47/06; F04B35/01; F04B9/02; F04D25/0686; F04D29/058";"F04D25/06; F04D29/04; F04D29/058; F04D29/10; E21B43/12; F16C39/06";"US7654328B2 / US2006157251A1
 WO2005003512A1 / WO2005003512A8
 AU2004254526A1 / AU2004254526B2
 IN237844A1 / IN-KOLNP-2005-02674A
 CA2531031A1 / CA2531031C
 GB0526504D0 / GB2419384A / GB2419384B
 RU2329405C2 / RU2006102966A
 NO323324B1 / NO20033034D0 / NO20033034L
 NO329089B1 / NO329089B3 / NO20060467L";WO, IN, RU, GB, AU, CA, NO, US;WO;82.47;02.jul.03;2003;"LANGAN HANS (NO); LANGAN HANS ZACCO NORWAY AS PO BOX 765 SENTRUM N 0106 OSLO NO";None;NO;NO-2;1;2;DEAD;84;No;No;None;94.84;79.09;66.08;Application;27800757
WO2005002957A1;THREE-WHEELED VEHICLE;NO;FRIEND INTERNAT AS  ( NO );FRIEND INTERNAT AS (NO);"BRUDELI GEIR (NO); FRIEND INTERNAT AS (NO)";FRIEND INTERNAT AS;13.jan.05;29.jun.04;"B62K5/10; B60G2300/122; B60G21/05; B62K5/08; B62K5/05; B62K5/027; B60G21/007; B62D9/02";"B60G21/00; B60G21/05; B62D9/02; B62K5/08; B62K5/06; B62K11/00; B62D61/06; B62J25/00; B62D9/02-";"US7530419B2 / US2007176384A1
 EP1651507A1 / EP1651507B1
 WO2005002957A1
 NO20033026D0 / NO20033026L";WO, NO, EP, US;WO;77.24;01.jul.03;2003;"ONSAGERS AS (NO); ONSAGERS AS ET AL POBOX 6963 ST OLAVS PLASS N 0130 OSLO NO";POBOX 6963 ST OLAVS PLASS N 0130 OSLO;NO;NO-1;1;1;DEAD;75;No;No;None;92.65;48.58;67.74;Application;27800756
WO2003076869A1;APPARATUS FOR INSPECTING DEFORMATION OF PIPES;EP;BOREALIS TECHNOLOGY OY  ( FI );BOREALIS TECHNOLOGY OY (FI);"ARNESEN TORE (NO); BOREALIS TECH OY (FI); EDWIN EMIL (NO)";BOREALIS AG;18.sep.03;13.mar.02;"G01B7/281; G01B5/08";"G01B5/08; G01B7/28; G01M99/00";"US7159477B2 / US2005120812A1
 EP1483545A1 / EP1483545B1
 WO03076869A1
 DE60212717D1 / DE60212717T2
 AU2002310946A1
 CN1278096C / CN1625678A";DE, EP, CN, AU, WO, US;WO;54.55;13.mar.02;2002;"DEHN FRANK B & CO (GB); FRANK B DEHN & CO ET AL 179 QUEEN VICTORIA STREET LONDON EC4V 4EL GB; JACKSON ROBERT (GB)";179 QUEEN VICTORIA STREET LONDON EC4V 4EL, FRANK B DEHN & CO 179 QUEEN VICTORIA STREET LONDON EC4V 4EL;FI, NO;NO-2;1;2;DEAD;0;No;No;None;83.91;57.54;50.78;Application;27798757
WO2004110320A1;ERECTION AID;NO;MEDITRON AS  ( NO );MEDITRON AS (NO);"MEDITRON ASA (NO); ORTEN BIRGER (NO)";MEDITRON AS;23-Dec-2004;10-May-2004;"A61H19/32; A61F5/41; A61F2005/414; A61H19/50; A61H23/00; A61H2201/10; A61N2/002; A61N2/02";"A61F5/41; A61H19/00; A61N2/00; A61N2/02; A61N2/02-";"WO2004110320A1
 NO20032673D0";NO, WO;WO;14.86;12.jun.03;2003;"BRYN AARFLOT AS (NO); BRYN AARFLOT AS PO BOX 449 SENTRUM N0104 OSLO NO";PO BOX 449 SENTRUM N0104 OSLO;NO;NO-1;1;1;DEAD;25;No;No;None;sep.23;des.59;16.37;Application;27607257
WO2003026954A1;SYSTEM FOR UTILIZATION OF SINUS-SHAPED MOTION PATTERN;NO;INOCEAN AS  ( NO );INOCEAN AS (NO);"APNESETH CLAUS CHRISTIAN (GB); BORGEN JON ERIK (NO); INOCEAN AS (NO); RIIS JOHN (NO)";TECHNIPFMC PLC;03.apr.03;24.sep.02;"Y02E10/30; F05B2210/16; F03B13/20; B63H1/36";"B63H1/36; F03B13/20; F03B13/12";"US6923693B2 / US2004266278A1
 WO03026954A1
 AU2002326224A1
 NO317623B1 / NO20022273D0 / NO20022273L";NO, US, WO, AU;WO;75.35;"25-Sep-2001
13-May-2002";2001;"ONSAGERS AS (NO); ONSAGERS AS ET AL POBOX 6963 ST OLAVS PLASS N 0130 OSLO NO";POBOX 6963 ST OLAVS PLASS N 0130 OSLO;NO, GB;"NO-2; GB-1";1;3;DEAD;71;No;No;None;87.06;82.69;60.2;Application;26649321
WO2003031765A1;A RISER AND METHOD OF INSTALLING SAME;GB;SUBSEA 7 LTD  ( GB );SUBSEA 7 LTD (GB);"CLAUSEN TERJE (NO); SUBSEA 7 LTD (GB)";SUBSEA 7 LTD;17.apr.03;10-Oct-2002;"E21B17/012; E21B17/015";E21B17/01;"WO03031765A1
 AU2002346996A1
 GB0408310D0 / GB2400622A / GB2400622B
 NO20041910D0 / NO20041910L";GB, NO, AU, WO;WO;51.59;"10-Oct-2001
19-Apr-2002";2001;"HOFFMANN EITLE (DE); HOFFMANN EITLE ET AL ARABELLASTRASSE 4 81925 M&UUML NCHEN DE";ARABELLASTRASSE 4 81925 MÜNCHEN;GB, NO;NO-1;1;1;DEAD;29.28;No;No;None;58.61;75.08;49.26;Application;26246635
WO2004100785A1;A DEVICE FOR MEASUREMENT AND WIRELESS TRANSMISSION OF ECG-SIGNALS;NO;WIRELESS PATIENT RECORDING MED  ( NO );WIRELESS PATIENT RECORDING MED (NO);"ANDERSEN JAN EINAR (NO); FENSLI RUNE (NO); GUNNARSON EINAR (NO); WIRELESS PATIENT RECORDING MED (NO)";WIRELESS PATIENT RECORDING MED;25.nov.04;7-May-2004;"A61B5/0006; A61B5/6833; A61B2562/02; A61B5/25; A61B2560/0412; A61B5/28; A61B5/257";"A61B5/00; A61B5/0408";"WO2004100785A1
 NO20032168D0 / NO20032168L";NO, WO;WO;19.83;14-May-2003;2003;"H&ARING MS&OSLASH PATENTBYR&ARING ANS PO BOX 171 N 4302 SANDNES NO; HAMS PATENTBYRA ANS (NO)";PO BOX 171 N 4302 SANDNES;NO;NO-3;1;3;DEAD;0;No;No;None;32.04;22.18;16;Application;19914757
WO2004089775A1;DRINKING SPOUT FOR BEVERAGE CAN;NO;BLEKASTAD ODD HERMANN  ( NO ),GILLEBO ERIK  ( NO );"BLEKASTAD ODD HERMANN (NO); GILLEBO ERIK (NO)";"BLEKASTAD ODD HERMANN (NO); GILLEBO ERIK (NO)";BLEKASTAD ODD HERMANN, GILLEBO ERIK;21-Oct-2004;11.mar.04;"B65D17/4012; B65D2517/0014; B65D2517/0049; B65D2517/0061";"B65D; B65D17/00; B65D17/28; B65D25/44; B65D47/10; B65D47/32";"WO2004089775A1
 NO20031608D0";NO, WO;WO;22.55;10.apr.03;2003;None;None;NO;NO-2;2;2;DEAD;0;No;No;None;18;51.53;34;Application;19914656
WO2004082328A1;MINI MICROPHONE;NO;MEDITRON AS  ( NO );MEDITRON AS (NO);"MEDITRON ASA (NO); ORTEN BIRGER (NO)";MEDITRON AS;23.sep.04;09.mar.04;H04R1/04;"H04R1/04; H04R1/02";"WO2004082328A1
 NO20031104D0";NO, WO;WO;okt.24;10.mar.03;2003;"BRYN AARFLOT AS (NO); BRYN AARFLOT AS PO BOX 449 SENTRUM N0104 OSLO NO";PO BOX 449 SENTRUM N0104 OSLO;NO;NO-1;1;1;DEAD;0;No;No;None;8;10.apr;20;Application;19914557
WO2004082249A1;ECHO CANCELLER WITH REDUCED REQUIREMENT FOR PROCESSING POWER;NO;TANDBERG TELECOM AS  ( NO );TANDBERG TELECOM AS (NO);"AARNES INGVAR FLATEN (NO); MARTON TRYGVE FREDERIK (NO); TANDBERG TELECOM AS (NO)";CISCO SYSTEM INC;23.sep.04;11.nov.03;H04M9/082;"H04M9/08; H04M1/58; H04M1/60; H04B3/20; H04B3/23";"US7010119B2 / US2004218755A1
 EP1602223A1 / EP1602223B1
 WO2004082249A1
 JP2006514492A
 DE60327895D1
 AU2003278623A1
 CN1810015A / CN100521710C
 ES2328032T3
 ATE433253T1
 NO318401B1 / NO20031103D0";NO, WO, AU, AT, ES, JP, CN, DE, EP, US;WO;74.27;10.mar.03;2003;"OSLO PATENTKONTOR AS (NO); OSLO PATENTKONTOR AS POSTBOKS 7007M N 0306 OSLO NO";POSTBOKS 7007M N 0306 OSLO;NO;NO-2;1;2;DEAD;76;No;No;None;76.56;38;82.16;Application;19914556
WO2004064454A1;SENSOR-CONTROLLED LIGHTING FIXTURE;NO;KOTTHAUS HANS  ( NO );KOTTHAUS HANS (NO);KOTTHAUS HANS (NO);KOTTHAUS HANS;29.jul.04;29-Dec-2003;"H05B47/115; Y02B20/40";"H05B47/10; H05B37/02; F21V33/00";"WO2004064454A1
 AU2003291784A1
 NO316490B1 / NO20030078A / NO20030078D0";NO, WO, AU;WO;27.92;08.jan.03;2003;"H&ARING MS&OSLASH PATENTBYR&ARING ANS PO BOX 171 N 4302 SANDNES NO; HAMS PATENTBYRA ANS (NO)";PO BOX 171 N 4302 SANDNES;NO;NO-1;1;1;DEAD;0;No;No;None;28.77;14.sep;50;Application;19914357
WO2004030806A1;METHDO AND EQUIPMENT FOR TREATING HARMFUL GASES;NO;KONKOLA SEPPO  ( NO ),SCHIEWE ROBERT  ( NO );"KONKOLA SEPPO (NO); SCHIEWE ROBERT (NO)";"KONKOLA SEPPO (NO); SCHIEWE ROBERT (NO)";KONKOLA SEPPO, SCHIEWE ROBERT;15.apr.04;2-Oct-2003;"C01B21/02; B01D53/32; B01D2259/818; B01J19/088; B01J19/121; B01J19/26; B01J2219/0805; B01J2219/0852; B01J2219/0875; C01B13/0222";"B01D53/32; B01J19/08; B01J19/12; B01J19/26; C01B13/02; C01B21/02";"EP1638681A1
 WO2004030806A1
 AU2003267467A1
 NO20024750D0";NO, WO, EP, AU;WO;26.jul;02-Oct-2002;2002;"LAITINEN PAULI S (FI); LAITINEN PAULI S PATENTTILAITINEN OY PO BOX 29 FIN02771 ESPOO FI";PATENTTILAITINEN OY PO BOX 29 FIN02771 ESPOO;NO;NO-2;2;2;DEAD;50;No;No;None;aug.37;26.53;33.54;Application;19914057
WO2004010778A1;DEVICE IN BRAKE DISK FOR TROLLING DEVICE;NO;BRINCHMANN SUNVALD  ( NO );BRINCHMANN SUNVALD (NO);BRINCHMANN SUNVALD (NO);BRINCHMANN SUNVALD;05.feb.04;23.jul.03;A01K91/18;"A01K91/18; A01K91/08";"WO2004010778A1
 AU2003247296A1
 NO20023544D0";NO, AU, WO;WO;31.aug;25.jul.02;2002;"H&ARING MS&OSLASH PATENTBYR&ARING ANS PO BOX 171 N4302 SANDNES NO; HAMS PATENTBYRA ANS (NO)";PO BOX 171 N4302 SANDNES;NO;NO-1;1;1;DEAD;50;No;No;None;21;mai.15;42.94;Application;19913856
WO2003100453A1;ACOUSTIC SUBSEA MONITORING SYSTEM;NO;NAXYS AS  ( NO );NAXYS AS (NO);"NAXYS AS (NO); SVEIN ARILD HAUGEN (NO)";NAXYS AS;4-Dec-2003;16-May-2003;"G01S3/8083; G01V1/38; G01S11/14";"G01S3/808; G01S11/14; G01V1/38; G01S3/80; G01S15/89; G01V1/38-";"WO03100453A1
 AU2003241230A1
 GB0426961D0 / GB2405475A / GB2405475B
 NO315761B1 / NO20022450A / NO20022450D0";NO, GB, WO, AU;WO;41.66;23-May-2002;2002;"ACTIO LASSEN AS (NO); ACTIO LASSEN AS PO BOX 1880 NORDNES N5817 BERGEN NO";PO BOX 1880 NORDNES N5817 BERGEN;NO;NO-1;1;1;DEAD;62;No;No;None;33.13;des.53;49.17;Application;19913656
WO2003079773A1;A SYSTEM AND METHOD FOR TRACKING INDIVIDUALS;NO;TELENOR SA  ( NO );TELENOR SA (NO);"AKSELSEN SIGMUND (NO); EVJEMO BENTE (NO); JOHNSEN OEYVIND (NO); KARLSEN HAAKON JR (NO); MUNCH ELLINGSEN ARNE (NO); SOLVOLL TERJE GEIR (NO); SYVERSEN TORE (NO); TELENOR ASA (NO); THORSTENSEN BJOERN (NO)";TELENOR SA;2-Oct-2003;21.mar.03;"A01K11/008; A01K29/005";"A01K11/00; A01K29/00; H04B7/26; H04M11/00";"US7123153B2 / US2005265272A1
 EP1484962A1 / EP1484962B1
 WO03079773A1
 JP4268884B2 / JP2005520524A
 DE60301207D1 / DE60301207T2
 AU2003215968A1
 AU2009203100A1
 CN1642412A / CN100428879C
 ES2244943T3
 ATE300867T1
 BR0308596A
 NO319077B1 / NO20021435D0 / NO20021435L
 NZ535660A";JP, AT, NO, WO, NZ, ES, AU, BR, US, DE, CN, EP;WO;77.53;21.mar.02;2002;"OSLO PATENTKONTOR AS (NO); OSLO PATENTKONTOR AS POSTBOKS 7007 M N 0306 OSLO NO";POSTBOKS 7007 M N 0306 OSLO;NO;NO-8;1;8;DEAD;73.38;No;No;None;84.12;79.7;70.8;Application;19913457
